model_loss,error,accuracy,precision,recall,f1,tpr,tnr,optimal_threshold
Random_Forest_Original_Loss,'precision',,,,,,,
Random_Forest_Dice_Loss,,0.5921052631578947,0.5547445255474452,0.987012987012987,0.7102803738317757,0.987012987012987,0.18666666666666668,0.14210526315789473
Random_Forest_Focal_Loss,,0.5328947368421053,0.6875,0.14285714285714285,0.23655913978494625,0.14285714285714285,0.9333333333333333,0.9
Random_Forest_Tversky_Loss,,0.5921052631578947,0.5547445255474452,0.987012987012987,0.7102803738317757,0.987012987012987,0.18666666666666668,0.14210526315789473
Logistic_Regression_Original_Loss,'precision',,,,,,,
Logistic_Regression_Dice_Loss,,0.5033112582781457,0.5033112582781457,1.0,0.6696035242290749,1.0,0.0,0.1
Logistic_Regression_Focal_Loss,,0.4966887417218543,0.0,0.0,0.0,0.0,1.0,0.6894736842105262
Logistic_Regression_Tversky_Loss,,0.5033112582781457,0.5033112582781457,1.0,0.6696035242290749,1.0,0.0,0.1
Weighted_Logistic_Regression_Original_Loss,'precision',,,,,,,
Weighted_Logistic_Regression_Dice_Loss,,0.5033112582781457,0.5033112582781457,1.0,0.6696035242290749,1.0,0.0,0.1
Weighted_Logistic_Regression_Focal_Loss,,0.4966887417218543,0.0,0.0,0.0,0.0,1.0,0.9
Weighted_Logistic_Regression_Tversky_Loss,,0.5033112582781457,0.5033112582781457,1.0,0.6696035242290749,1.0,0.0,0.1
