ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Andaman_Islands_rain_forests,1.0,1.0,1.0,10,8,2
Aravalli_west_thorn_scrub_forests,0.9911504424778761,1.0,0.9904761904761905,113,8,105
Brahmaputra_Valley_semi_evergreen_forests,1.0,1.0,1.0,26,5,21
Central_Deccan_Plateau_dry_deciduous_forests,0.9607843137254902,0.9361702127659575,0.9818181818181818,102,47,55
Chhota_Nagpur_dry_deciduous_forests,0.9642857142857143,1.0,0.95,28,8,20
Deccan_thorn_scrub_forests,0.9629629629629629,0.9,0.9772727272727273,162,30,132
East_Deccan_dry_evergreen_forests,1.0,1.0,1.0,46,37,9
East_Deccan_moist_deciduous_forests,0.9836065573770492,1.0,0.978494623655914,122,29,93
Eastern_Himalayan_broadleaf_forests,1.0,0.0,1.0,15,0,15
Himalayan_subtropical_pine_forests,0.9777777777777777,0.5,1.0,45,2,43
Karakoram_West_Tibetan_Plateau_alpine_steppe,1.0,0.0,1.0,21,0,21
Khathiar_Gir_dry_deciduous_forests,0.9805825242718447,0.9722222222222222,0.9850746268656716,103,36,67
Lower_Gangetic_Plains_moist_deciduous_forests,0.9710144927536232,1.0,0.9555555555555556,69,24,45
Malabar_Coast_moist_forests,1.0,1.0,1.0,597,579,18
Meghalaya_subtropical_forests,0.9166666666666666,0.5,0.9545454545454546,24,2,22
Mizoram_Manipur_Kachin_rain_forests,1.0,1.0,1.0,19,7,12
Narmada_Valley_dry_deciduous_forests,1.0,1.0,1.0,54,27,27
North_Deccan_dry_deciduous_forests,0.9333333333333333,1.0,0.9,15,5,10
North_Western_Ghats_moist_deciduous_forests,1.0,1.0,1.0,43,13,30
North_Western_Ghats_montane_rain_forests,0.9772727272727273,0.9230769230769231,1.0,44,13,31
Orissa_semi_evergreen_forests,1.0,1.0,1.0,16,15,1
South_Deccan_Plateau_dry_deciduous_forests,0.9818181818181818,0.975609756097561,0.9855072463768116,110,41,69
South_Western_Ghats_moist_deciduous_forests,0.9900990099009901,0.9882352941176471,1.0,101,85,16
South_Western_Ghats_montane_rain_forests,1.0,1.0,1.0,64,50,14
Sundarbans_freshwater_swamp_forests,1.0,1.0,1.0,10,7,3
Thar_desert,1.0,0.0,1.0,16,0,16
Upper_Gangetic_Plains_moist_deciduous_forests,1.0,1.0,1.0,122,23,99
Western_Himalayan_alpine_shrub_and_meadows,1.0,0.0,1.0,12,0,12
Western_Himalayan_broadleaf_forests,0.9818181818181818,0.0,1.0,55,1,54
